Namn:;Kolumn1;Muskelgrupp: ;Equipment:;Target:;Variant;Synergist:;Stabilizers:;Utility:;Mechanics:;Force:;Beskrivning:;LINK:
Tricep Kickback;;Arm;Dumbbell;Triceps;1;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/DBKickback
Lying Triceps Extansion;;Arm;Dumbbell;Triceps;6;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/DBLyingTriExt
Incline Triceps Extension;;Arm;Dumbbell;Triceps;7;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/DBInclineTricepsExt
One Arm Tricep Extension;;Arm;Dumbbell;Triceps;8;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/DBOneArmTriExt
Tricep Extension ;;Arm;Dumbbell;Triceps;9;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/DBTriExt
Close Grip Bench Press (Machine);;Arm;Machine;Triceps;2;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/LVCloseGripBenchPressH
Tricep Extension ;;Arm;Machine;Triceps;10;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/LVTriExtGripless
Machine Dip;;Arm;Machine;Triceps;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/LVTriDipH
Incline Triceps Extension;;Arm;Machine;Triceps;11;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/LVInclineTricepsExtension
Close Grip Machine Press;;Arm;Machine;Triceps;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/LVSeatedCloseGripPress
Machine Dip;;Arm;Machine;Triceps;4;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/LVTriDip2
Tricep Extension ;;Arm;Machine;Triceps;12;;;Basic, Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/Triceps/LVTriExt
Close Grip Bench Press;;Arm;Smith;Triceps;4;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/SMCloseGripBenchPress
Bench Dip;;Arm;Weighted / Body Weight;Triceps;5;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/WtBenchDip
Close Grip Push-up;;Arm;Weighted / Body Weight;Triceps;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/WtPushup
Dip;;Arm;Weighted / Body Weight;Triceps;6;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/WtTriDip
Band Assisted Dip;;Arm;Body Weight;Triceps;7;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/Triceps/ASTricepsDipBand
Curl;;Arm;Barbell;Biceps;1;;;Basic;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/BBCurl
Curl;;Arm;EZ Bar;Biceps;2;;;Basic;Isolated;Pull;;??
Drag Curl;;Arm;Barbell;Biceps;3;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/BBDragCurl
Alternating Curl;;Arm;Cable;Biceps;1;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/CBAlternatingCurl
Alternating Curl (Seated);;Arm;Cable;Biceps;2;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/CBAlternatingSeatedCurl
Curl;;Arm;Cable;Biceps;4;;;Basic;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/CBCurl
Seated Curl;;Arm;Cable;Biceps;5;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/CBSeatedCurl
One Arm Curl;;Arm;Cable;Biceps;6;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/CBOneArmCurl
Curl;;Arm;Dumbbell;Biceps;7;;;Basic;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/DBCurl
Seated Curl;;Arm;Dumbbell;Biceps;8;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/DBSeatedCurl
Seated Incline Curl;;Arm;Dumbbell;Biceps;9;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/DBInclineCurl
Concentracion Curl;;Arm;Dumbbell;Brachialis ;2;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/DBConcentrationCurl
Machine Curl;;Arm;Machine;Biceps;10;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Biceps/LVCurl
Inverted Biceps Row;;Arm;Body Weight;Biceps;1;;;Basic, Auxiliary;Compound;Pull;Adjust bar hight for resistens;https://exrx.net/WeightExercises/Biceps/BWUnderhandSupineRow
Preacher Curl;;Arm;Barbell;Brachialis ;1;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/BBPreacherCurl
Concentracion Curl;;Arm;Cable;Brachialis ;1;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/CBConcentrationCurl
Preacher Curl;;Arm;Cable;Brachialis ;2;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/CBPreacherCurl
One Arm Preacher Curl;;Arm;Cable;Brachialis ;3;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/CBOneArmPreacherCurl
Prone Incline Curl;;Arm;Cable;Brachialis ;1;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/CBProneInclineCurl
Preacher Curl;;Arm;Dumbbell;Brachialis ;3;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/DBPreacherCurl
Prone Incline Curl;;Arm;Dumbbell;Brachialis ;2;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/DBProneInclineCurl
Preacher Curl;;Arm;Machine;Brachialis ;4;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/Brachialis/LVPreacherCurl
